Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100p,C_0805_2012Metric,73.3,-61.6,-90.0,top
C2,47p,C_0805_2012Metric,92.5,-61.8,0.0,top
C3,47p,C_0805_2012Metric,92.5,-73.2,0.0,top
C4,100p,C_0805_2012Metric,95.9,-61.8,0.0,top
C5,100p,C_0805_2012Metric,95.9,-73.2,0.0,top
C6,100u,CP_Radial_D6.3mm_P2.50mm,96.0,-53.95,-90.0,top
C7,100u,CP_Radial_D6.3mm_P2.50mm,105.1,-77.95,-90.0,top
C8,100u,CP_Radial_D6.3mm_P2.50mm,96.0,-81.05,-90.0,top
C9,100u,CP_Radial_D6.3mm_P2.50mm,105.1,-57.05,-90.0,top
C10,47p,C_0805_2012Metric,97.4,-64.3,-90.0,top
C11,100p,C_0805_2012Metric,106.8,-65.2,-90.0,top
C12,100p,C_0805_2012Metric,106.8,-69.8,-90.0,top
C13,100p,C_0805_2012Metric,126.6,-67.5,0.0,top
C14,100n,C_0805_2012Metric,89.6,-68.899999,-90.0,top
C15,100n,C_0805_2012Metric,81.6,-67.5,-90.0,top
C16,100u,CP_Radial_D6.3mm_P2.50mm,124.3,-62.75,-90.0,top
C17,100u,CP_Radial_D6.3mm_P2.50mm,124.3,-72.25,-90.0,top
C18,100u,CP_Radial_D6.3mm_P2.50mm,131.3,-62.75,-90.0,top
C19,100u,CP_Radial_D6.3mm_P2.50mm,131.3,-72.25,-90.0,top
C20,100n,C_0805_2012Metric,85.6,-62.6,0.0,top
C21,100n,C_0805_2012Metric,86.0,-72.4,0.0,top
F1,500mA,Fuse_1206_3216Metric,136.7,-60.4,0.0,top
F2,500mA,Fuse_1206_3216Metric,136.7,-74.6,0.0,top
Q1,BCM857BS,SOT-363_SC-70-6,84.2,-54.5,90.0,top
Q2,BCM847BS,SOT-363_SC-70-6,84.2,-80.5,90.0,top
Q3,2SA1312,SOT-23-3,76.1,-65.2,270.0,top
Q4,2SC3324,SOT-23-3,76.1,-69.8,270.0,top
Q5,2SC3324,SOT-23-3,80.3,-55.4,0.0,top
