Qty,Reference(s),Value,LCSC,Manufacturer No.
6,"C1, C4, C5, C11, C12, C13",100p,C437488,GCM21A7U2E101JX01D
3,"C2, C3, C10",47p,C440149,GCM21A5C2E470JX01D
8,"C6, C7, C8, C9, C16, C17, C18, C19",100u,C264049,EEUFR1E101
4,"C14, C15, C20, C21",100n,C85866,GCM21BR72A104KA37L
2,"F1, F2",500mA,C492011,SMD1206P050TF/24
5,"Q1, Q9, Q10, Q20, Q21",BCM857BS,C105887,"BCM857BS,115"
5,"Q2, Q11, Q12, Q19, Q22",BCM847BS,C396099,"BCM847BS,115"
8,"Q3, Q7, Q8, Q14, Q15, Q16, Q23, Q26",2SA1312,,2SA1312-BL
8,"Q4, Q5, Q6, Q13, Q17, Q18, Q24, Q25",2SC3324,,2SC3324-BL
1,Q27,D45H11,,D45H11G
1,Q28,D44H11,,D44H11G
3,"R1, R15, R16",2k2,C1884620,MMA02040C2201FB300
7,"R2, R6, R9, R12, R13, R27, R28",68,C2086951,MMA02040C6809FB300
7,"R3, R4, R19, R22, R23, R25, R41",10k,C2084764,MMA02040C1002FB300
3,"R5, R10, R42",560,C1884632,MMA02040C5600FB300
2,"R7, R8",10,C2074322,MMA02040C1009FB300
8,"R11, R14, R18, R20, R26, R29, R30, R31",220,C2074282,MMA02040C2200FB300
4,"R17, R21, R38, R43",150,C2074241,MMA02040C1500FB300
3,"R24, R39, R40",1M,C4339242,MMA02040C1004FB300
6,"R32, R33, R34, R35, R36, R37",1,C2074959,MMA02040C1008FB300
2,"RV1, RV2",1k,C780233,3266W-1-102LF
1,U1,ADA4522-1,C160794,ADA4522-1ARZ-R7
